Year,Alcohol,Amphetamine,Benzodiazepine,Cannabis,Cocaine,Codeine,GHB,Heroin,Ketamine,Khat,LSD,MDMA,Methadone,Methamphetamine,Psilocybin,WoS
1960,381,4,0,9,8,8,0,8,0,1,38,0,2,29,6,225311
1961,490,1,5,9,14,15,0,3,0,1,26,0,4,47,7,247736
1962,476,4,9,8,14,18,0,11,0,4,42,0,4,56,11,261791
1963,588,7,20,7,27,8,0,9,0,1,31,0,4,61,13,281070
1964,597,6,37,7,22,9,0,10,0,1,57,0,2,69,3,318507
1965,611,7,44,12,28,14,1,8,0,2,48,0,2,91,7,390006
1966,761,1,57,10,18,9,1,15,0,1,66,0,10,98,15,425918
1967,905,5,61,32,28,18,2,31,2,2,87,0,10,113,12,452127
1968,1110,9,69,46,37,19,1,36,3,0,112,0,8,140,10,475538
1969,1279,16,108,78,21,18,1,44,32,0,74,0,21,188,8,594470
1970,1387,21,110,93,42,15,0,51,42,0,115,0,40,177,6,612098
1971,1484,32,145,176,32,13,0,71,78,0,95,0,74,242,4,621662
1972,1711,21,125,136,23,18,0,122,79,3,79,0,144,278,4,644177
1973,1667,17,180,180,46,16,1,173,82,0,78,0,152,268,9,648534
1974,1796,22,234,186,54,19,0,163,83,2,78,0,170,321,9,659917
1975,1879,20,237,152,67,27,0,127,84,2,50,1,165,286,3,743901
1976,2017,31,225,176,89,29,1,105,92,4,44,0,157,290,1,778533
1977,2322,18,267,155,115,32,3,95,95,2,63,0,138,294,7,839750
1978,2389,21,320,144,106,33,2,116,95,2,58,0,136,306,5,855328
1979,2736,17,437,116,101,26,0,122,99,9,39,0,116,229,5,878419
1980,2959,21,450,137,66,44,2,104,100,17,38,0,111,242,4,914043
1981,3152,28,509,135,92,33,4,85,101,5,37,0,99,239,8,950435
1982,3353,32,549,101,90,37,2,88,106,7,37,0,100,241,6,987383
1983,3376,44,663,166,105,46,1,130,109,7,31,0,79,217,3,1020380
1984,3659,59,657,150,118,44,4,145,112,11,35,0,78,204,3,1085270
1985,3602,51,582,133,133,47,0,120,115,6,44,1,61,193,5,1112572
1986,4035,64,686,155,165,61,2,117,116,19,24,14,68,223,3,1143609
1987,3999,52,660,152,283,54,2,117,116,23,22,17,63,170,3,1187758
1988,4136,54,702,158,412,41,3,110,117,19,27,27,67,189,3,1214344
1989,3376,61,571,133,506,35,3,99,120,7,25,22,69,174,2,1235921
1990,4221,76,706,159,685,50,4,98,185,10,28,44,115,239,5,1330838
1991,10068,135,1470,544,1103,106,28,225,280,16,67,62,204,668,2,1046656
1992,10456,145,1388,1773,1288,108,36,252,300,15,82,55,182,705,6,1060931
1993,10801,161,1431,432,1353,105,45,255,309,9,86,64,204,687,7,1103534
1994,11691,175,1331,392,1372,112,28,296,348,21,101,58,308,721,4,1161450
1995,12467,215,1339,522,1360,125,37,284,352,17,95,60,260,732,1,1212177
1996,13239,244,1288,564,1527,149,54,302,366,15,100,73,340,830,5,1272227
1997,13282,241,1203,693,1485,156,54,390,408,14,119,82,320,884,2,1303628
1998,13723,247,1283,814,1512,135,73,375,417,12,104,86,363,867,13,1315298
1999,14030,260,1208,984,1626,140,65,427,439,12,134,104,368,908,12,1303460
2000,14141,330,1132,1083,1605,142,73,479,449,21,115,118,392,931,12,1348149
2001,14555,268,1051,1222,1523,140,84,482,471,7,84,133,413,856,8,1328955
2002,14965,345,1069,1151,1555,118,83,510,472,22,128,168,403,936,18,1372741
2003,16110,347,1015,1248,1701,126,111,533,483,22,122,163,462,988,12,1438939
2004,18164,407,1039,1385,1660,138,132,544,498,21,138,205,431,994,16,1534107
2005,19292,485,1098,1670,1836,150,102,578,521,31,129,178,505,1139,15,1654659
2006,20668,544,1040,1857,1759,143,96,630,541,32,158,203,521,1061,25,1748290
2007,22193,597,1000,2022,1886,154,95,566,544,35,154,202,560,1080,13,1895327
2008,24185,645,1144,2327,2086,149,97,690,639,50,179,219,606,1102,20,2011745
2009,25494,644,1130,2341,1961,167,113,628,670,47,197,197,640,1062,27,2141702
2010,27851,671,1104,2508,2031,181,97,693,698,62,203,201,689,1066,26,2171909
2011,30051,700,1088,2529,2174,185,118,739,757,65,208,204,671,1060,28,2275141
2012,31365,798,1114,2825,2136,179,94,711,873,61,259,214,758,1071,35,2377913
2013,33052,762,1065,2937,2293,208,83,794,911,63,256,185,793,1142,41,2475266
2014,34161,820,1069,3287,2359,217,80,794,968,75,261,171,710,1154,48,2573645
2015,36506,824,1224,3606,2203,215,74,843,1220,89,311,151,817,957,56,2923490
2016,37973,923,1220,3998,2189,228,98,882,1275,76,368,168,822,1051,81,3051435
2017,39311,798,1187,4320,2253,254,98,998,1358,91,408,138,934,946,92,3124987
2018,39980,998,1228,4684,2071,273,94,1065,1412,101,431,168,868,990,125,3010397
